id,sport,playerName,teamName,brand,cardNumber,year,notes
57,BASEBALL,Bill Melton,Chicago White Sox,Topps,56,1968,All-Star
58,BASEBALL,Tim McCarver,St. Louis Cardinals,Topps,57,1968,All-Star
59,BASEBALL,Jim Merritt,Cincinnati Reds,Topps,58,1968,All-Star
60,BASEBALL,Cesar Tovar,Philadelphia Phillies,Topps,59,1968,All-Star
61,BASEBALL,Bill Spans,Washington Senators,Topps,60,1968,All-Star
62,BASEBALL,Jack Aker,New York Mets,Topps,61,1968,All-Star
63,BASEBALL,Joe Perry,Boston Red Sox,Topps,62,1968,All-Star
64,BASEBALL,Jim Fregosi,California Angels,Topps,63,1968,All-Star
65,BASEBALL,Johnny Bench,Cincinnati Reds,Topps,64,1968,Hall of Famer
66,BASEBALL,Jim O'Toole,Cincinnati Reds,Topps,65,1968,All-Star
67,BASEBALL,Mickey Mantle,New York Yankees,Topps,66,1968,Hall of Famer
68,BASEBALL,Don Zimmer,Chicago White Sox,Topps,67,1968,All-Star
69,BASEBALL,Fergie Jenkins,Chicago Cubs,Topps,68,1968,Hall of Famer
70,BASEBALL,Gaylord Perry,San Francisco Giants,Topps,69,1968,All-Star
71,BASEBALL,Ray Jarvis,New York Mets,Topps,70,1968,All-Star
72,BASEBALL,Ken McMullen,Washington Senators,Topps,71,1968,All-Star
73,BASEBALL,Richie Allen,Chicago White Sox,Topps,72,1968,All-Star
74,BASEBALL,Dave McNally,Baltimore Orioles,Topps,73,1968,All-Star
75,BASEBALL,Jim Bunning,Philadelphia Phillies,Topps,74,1968,Hall of Famer
76,BASEBALL,Bob Tillman,Boston Red Sox,Topps,75,1968,All-Star
77,BASEBALL,Phil Niekro,Atlanta Braves,Topps,76,1968,Hall of Famer
78,BASEBALL,Paul Blair,Baltimore Orioles,Topps,77,1968,Gold Glove Winner
79,BASEBALL,Jim Palmer,Baltimore Orioles,Topps,78,1968,Hall of Famer
80,BASEBALL,Bobby Tolan,Cincinnati Reds,Topps,79,1968,All-Star
81,BASEBALL,Don Kessinger,Chicago Cubs,Topps,80,1968,All-Star
82,BASEBALL,Jim Britton,Boston Red Sox,Topps,81,1968,All-Star
83,BASEBALL,Bobby Murcer,New York Yankees,Topps,82,1968,Future Star
84,BASEBALL,Danny Murphy,Baltimore Orioles,Topps,83,1968,All-Star
85,BASEBALL,Jerry Koosman,New York Mets,Topps,84,1968,Future Star
86,BASEBALL,Claude Osteen,Washington Senators,Topps,85,1968,All-Star
87,BASEBALL,Bill Melton,Chicago White Sox,Topps,86,1968,All-Star
88,BASEBALL,Lou Piniella,Kansas City Royals,Topps,87,1968,Future Star
89,BASEBALL,Ken Harrelson,Chicago White Sox,Topps,88,1968,All-Star
90,BASEBALL,Jim Fregosi,California Angels,Topps,89,1968,All-Star
91,BASEBALL,Joe Morgan,Houston Astros,Topps,90,1968,Hall of Famer
92,BASEBALL,Cesar Tovar,Philadelphia Phillies,Topps,91,1968,All-Star
93,BASEBALL,Don Zimmer,Chicago White Sox,Topps,92,1968,All-Star
94,BASEBALL,Tim McCarver,St. Louis Cardinals,Topps,93,1968,All-Star
95,BASEBALL,Jim Gosger,Boston Red Sox,Topps,94,1968,All-Star
96,BASEBALL,Fergie Jenkins,Chicago Cubs,Topps,95,1968,Hall of Famer
97,BASEBALL,Frank Robinson,Cincinnati Reds,Topps,96,1968,Hall of Famer
98,BASEBALL,Joe Perry,Boston Red Sox,Topps,97,1968,All-Star
99,BASEBALL,Mike Epstein,Washington Senators,Topps,98,1968,All-Star
100,BASEBALL,Sam McDowell,Cleveland Indians,Topps,99,1968,All-Star
101,BASEBALL,Bob Gibson,St. Louis Cardinals,Topps,100,1968,Hall of Famer
