sport,playerName,teamName,brand,cardNumber,year,count,notes
BASEBALL,Ted Williams,,Fleer,31,1959,3,
BASEBALL,Ted Williams,,Fleer,32,1959,3,
BASEBALL,Ted Williams,,Fleer,33,1959,5,
BASEBALL,Ted Williams,,Fleer,34,1959,2,
BASEBALL,Ted Williams,,Fleer,35,1959,3,
BASEBALL,Ted Williams,,Fleer,36,1959,2,
BASEBALL,Ted Williams,,Fleer,37,1959,2,
BASEBALL,Ted Williams,,Fleer,38,1959,6,
BASEBALL,Ted Williams,,Fleer,39,1959,2,
BASEBALL,Ted Williams,,Fleer,40,1959,4,
BASEBALL,Ted Williams,,Fleer,41,1959,2,
BASEBALL,Ted Williams,,Fleer,42,1959,2,
BASEBALL,Ted Williams,,Fleer,43,1959,2,
BASEBALL,Ted Williams,,Fleer,44,1959,1,
BASEBALL,Ted Williams,,Fleer,45,1959,3,
BASEBALL,Ted Williams,,Fleer,46,1959,3,
BASEBALL,Ted Williams,,Fleer,47,1959,2,
BASEBALL,Ted Williams,,Fleer,48,1959,6,
BASEBALL,Ted Williams,,Fleer,49,1959,3,
BASEBALL,Ted Williams,,Fleer,50,1959,2,
BASEBALL,Ted Williams,,Fleer,51,1959,1,
BASEBALL,Ted Williams,,Fleer,52,1959,2,
BASEBALL,Ted Williams,,Fleer,53,1959,2,
BASEBALL,Ted Williams,,Fleer,54,1959,2,
BASEBALL,Ted Williams,,Fleer,55,1959,3,
BASEBALL,Ted Williams,,Fleer,56,1959,1,
BASEBALL,Ted Williams,,Fleer,57,1959,2,
BASEBALL,Ted Williams,,Fleer,58,1959,2,
BASEBALL,Ted Williams,,Fleer,59,1959,3,
BASEBALL,Ted Williams,,Fleer,60,1959,3,
BASEBALL,Ted Williams,,Fleer,61,1959,2,
BASEBALL,Ted Williams,,Fleer,62,1959,5,
BASEBALL,Ted Williams,,Fleer,63,1959,2,
BASEBALL,Ted Williams,,Fleer,64,1959,3,
BASEBALL,Ted Williams,,Fleer,65,1959,2,
BASEBALL,Ted Williams,,Fleer,66,1959,4,
BASEBALL,Ted Williams,,Fleer,67,1959,2,
BASEBALL,Ted Williams,,Fleer,68,1959,3,In hard cases
BASEBALL,Ted Williams,,Fleer,69,1959,2,
BASEBALL,Ted Williams,,Fleer,70,1959,1,
BASEBALL,Ted Williams,,Fleer,71,1959,1,
BASEBALL,Ted Williams,,Fleer,72,1959,1,
BASEBALL,Ted Williams,,Fleer,73,1959,3,
BASEBALL,Ted Williams,,Fleer,74,1959,2,
BASEBALL,Ted Williams,,Fleer,75,1959,1,
BASEBALL,Ted Williams,,Fleer,76,1959,4,
BASEBALL,Ted Williams,,Fleer,77,1959,2,
BASEBALL,Ted Williams,,Fleer,78,1959,2,
BASEBALL,Ted Williams,,Fleer,79,1959,1,
BASEBALL,Ted Williams,,Fleer,80,1959,2,
